Frame_ID,Emotion
test0.jpg,angry
test1.jpg,angry
test2.jpg,Unknown
test3.jpg,surprised
test4.jpg,angry
test5.jpg,Unknown
test6.jpg,Unknown
test7.jpg,Unknown
test8.jpg,surprised
test9.jpg,surprised
test10.jpg,surprised
test11.jpg,surprised
test12.jpg,surprised
test13.jpg,angry
test14.jpg,happy
test15.jpg,happy
test16.jpg,happy
test17.jpg,happy
test18.jpg,happy
test19.jpg,happy
test20.jpg,surprised
test21.jpg,angry
test22.jpg,angry
test23.jpg,angry
test24.jpg,angry
test25.jpg,surprised
test26.jpg,happy
test27.jpg,surprised
test28.jpg,Unknown
test29.jpg,surprised
test30.jpg,surprised
test31.jpg,surprised
test32.jpg,surprised
test33.jpg,surprised
test34.jpg,surprised
test35.jpg,Unknown
test36.jpg,surprised
test37.jpg,unknown
test38.jpg,Unknown
test39.jpg,unknown
test40.jpg,unknown
test41.jpg,Unknown
test42.jpg,angry
test43.jpg,surprised
test44.jpg,surprised
test45.jpg,surprised
test46.jpg,surprised
test47.jpg,angry
test48.jpg,Unknown
test49.jpg,angry
test50.jpg,angry
test51.jpg,angry
test52.jpg,angry
test53.jpg,angry
test54.jpg,angry
test55.jpg,angry
test56.jpg,happy
test57.jpg,surprised
test58.jpg,happy
test59.jpg,happy
test60.jpg,happy
test61.jpg,happy
test62.jpg,happy
test63.jpg,happy
test64.jpg,surprised
test65.jpg,surprised
test66.jpg,angry
test67.jpg,Unknown
test68.jpg,angry
test69.jpg,angry
test70.jpg,happy
test71.jpg,unknown
test72.jpg,angry
test73.jpg,angry
test74.jpg,surprised
test75.jpg,happy
test76.jpg,Unknown
test77.jpg,happy
test78.jpg,Unknown
test79.jpg,Unknown
test80.jpg,surprised
test81.jpg,surprised
test82.jpg,happy
test83.jpg,happy
test84.jpg,happy
test85.jpg,happy
test86.jpg,surprised
test87.jpg,surprised
test88.jpg,surprised
test89.jpg,surprised
test90.jpg,surprised
test91.jpg,surprised
test92.jpg,surprised
test93.jpg,surprised
test94.jpg,surprised
test95.jpg,surprised
test96.jpg,angry
test97.jpg,angry
test98.jpg,angry
test99.jpg,angry
test100.jpg,surprised
test101.jpg,surprised
test102.jpg,surprised
test103.jpg,surprised
test104.jpg,surprised
test105.jpg,surprised
test106.jpg,happy
test107.jpg,surprised
test108.jpg,surprised
test109.jpg,surprised
test110.jpg,surprised
test111.jpg,surprised
test112.jpg,surprised
test113.jpg,surprised
test114.jpg,angry
test115.jpg,happy
test116.jpg,angry
test117.jpg,angry
test118.jpg,angry
test119.jpg,angry
test120.jpg,surprised
test121.jpg,surprised
test122.jpg,Unknown
test123.jpg,Unknown
test124.jpg,sad
test125.jpg,sad
test126.jpg,surprised
test127.jpg,surprised
test128.jpg,angry
test129.jpg,angry
test130.jpg,surprised
test131.jpg,Unknown
test132.jpg,Unknown
test133.jpg,Unknown
test134.jpg,surprised
test135.jpg,surprised
test136.jpg,surprised
test137.jpg,surprised
test138.jpg,surprised
test139.jpg,surprised
test140.jpg,surprised
test141.jpg,surprised
test142.jpg,surprised
test143.jpg,surprised
test144.jpg,Unknown
test145.jpg,Unknown
test146.jpg,surprised
test147.jpg,surprised
test148.jpg,Unknown
test149.jpg,angry
test150.jpg,angry
test151.jpg,happy
test152.jpg,happy
test153.jpg,happy
test154.jpg,angry
test155.jpg,angry
test156.jpg,surprised
test157.jpg,surprised
test158.jpg,angry
test159.jpg,happy
test160.jpg,angry
test161.jpg,angry
test162.jpg,angry
test163.jpg,happy
test164.jpg,happy
test165.jpg,happy
test166.jpg,happy
test167.jpg,happy
test168.jpg,happy
test169.jpg,happy
test170.jpg,happy
test171.jpg,surprised
test172.jpg,happy
test173.jpg,happy
test174.jpg,happy
test175.jpg,happy
test176.jpg,surprised
test177.jpg,surprised
test178.jpg,surprised
test179.jpg,unknown
test180.jpg,happy
test181.jpg,happy
test182.jpg,happy
test183.jpg,surprised
test184.jpg,surprised
test185.jpg,sad
